BUILDING_I,APPLICATION,STATUS,TSA,Dis_SubDis,LUCategory,ZoCaseStat,BldgStatus,Office,Retail,BMR_Hotel,BMR_Inst,BMR_Indus,BMR_TotNonRes,BMR_ResGFA,BMR_ResDU,BMR_Totals
83,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,760000,760,760000
82,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,760000,760,760000
81,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,10000,0,0,0,,711000,711,721000
80,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,20000,0,340000,0,,300000,300,660000
79,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,10000,0,0,0,,360000,360,370000
8,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,259845,0,0,0,0,,0,0,259845
78,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,0,0,0,0,,462000,462,462000
77,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,3000,0,0,0,,427000,427,430000
76,RZ 2017-HM-020,FDP Proposed,Reston Town Center TSA,West Fountain Drive,Town Center North Mixed Use,UNDER REVIEW,FDP Proposed,0,20000,0,70000,0,,180000,180,270000
6,RZ 2016-HM-024,FDP Proposed,Wiehle-Reston East TSA,Wiehle Station North,Transit Station Mixed Use,UNDER REVIEW,FDP Proposed,0,81920,0,0,0,,326902,345,408822
140,RZ 2018-HM-004,FDP Proposed,Reston Town Center TSA,Central Sunrise Valley,Office,ACCEPTED,FDP Proposed,0,1500,0,0,0,,173142,145,174642
